citi,discount,duration,price,title,types
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">kathmandu<!-- --> (3D)</li><li class=""f12"">POKHARA<!-- --> (2D)</li></ul>",8,"<span class=""iblock sfc6"">5<!-- --> Days &amp; <!-- -->4<!-- --> Nights</span>","₹ 24,699/-",Nepal River Rafting Tour Package ,3
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">kathmandu<!-- --> (3D)</li></ul>",8,"<span class=""iblock sfc6"">3<!-- --> Days &amp; <!-- -->2<!-- --> Nights</span>","₹ 13,700/-",Nepal 3 Days Trip Package,3
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">kathmandu<!-- --> (4D)</li><li class=""f12"">POKHARA<!-- --> (2D)</li></ul>",9,"<span class=""iblock sfc6"">6<!-- --> Days &amp; <!-- -->5<!-- --> Nights</span>","₹ 24,200/-",Amazing Nepal Trip Package,3
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">Changunarayan<!-- --> (1D)</li><li class=""f12"">POKHARA<!-- --> (2D)</li><li class=""f12"">kathmandu<!-- --> (5D)</li></ul>",8,"<span class=""iblock sfc6"">8<!-- --> Days &amp; <!-- -->7<!-- --> Nights</span>","₹ 12,499/-",Nepal Sporting Events Tour Package,3
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">kathmandu<!-- --> (4D)</li></ul>",9,"<span class=""iblock sfc6"">4<!-- --> Days &amp; <!-- -->3<!-- --> Nights</span>","₹ 12,199/-",Amazing Kathmandu Tour Package,3
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">kathmandu<!-- --> (5D)</li><li class=""f12"">POKHARA<!-- --> (1D)</li><li class=""f12"">Jomsom<!-- --> (1D)</li></ul>",9,"<span class=""iblock sfc6"">7<!-- --> Days &amp; <!-- -->6<!-- --> Nights</span>","₹ 48,200/-",Scintillating Nepal Honeymoon Trip,4
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">kathmandu<!-- --> (6D)</li><li class=""f12"">POKHARA<!-- --> (1D)</li><li class=""f12"">Lumbini<!-- --> (2D)</li></ul>",8,"<span class=""iblock sfc6"">9<!-- --> Days &amp; <!-- -->8<!-- --> Nights</span>","₹ 44,200/-",9 Days Tour Package To Nepal With Airfare,3
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">kathmandu<!-- --> (3D)</li><li class=""f12"">POKHARA<!-- --> (2D)</li></ul>",8,"<span class=""iblock sfc6"">5<!-- --> Days &amp; <!-- -->4<!-- --> Nights</span>","₹ 40,700/-",Nepal 5 Days Trip Package,3
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">kathmandu<!-- --> (3D)</li><li class=""f12"">Changunarayan<!-- --> (1D)</li><li class=""f12"">Janakpur<!-- --> (2D)</li></ul>",7,"<span class=""iblock sfc6"">6<!-- --> Days &amp; <!-- -->5<!-- --> Nights</span>","₹ 16,000/-",Nepal 6 Days Trip Package,3
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">kathmandu<!-- --> (2D)</li><li class=""f12"">Changunarayan<!-- --> (1D)</li><li class=""f12"">NAGARKOT<!-- --> (1D)</li></ul>",7,"<span class=""iblock sfc6"">4<!-- --> Days &amp; <!-- -->3<!-- --> Nights</span>","₹ 21,700/-",Nepal 4 Days Trip Package,3
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">kathmandu<!-- --> (4D)</li></ul>",10,"<span class=""iblock sfc6"">4<!-- --> Days &amp; <!-- -->3<!-- --> Nights</span>","₹ 12,200/-",Exhilarating Kathmandu Tour Package,3
